sample_id,timestamp,location_id,hazard_label,image_path,temperature,humidity,aqi,pm25,pm10,co,no2,so2,rainfall,wind_speed,pressure,traffic_density
S00000,1786736020,LOC-005,SMOKE_FIRE_RISK,data/images/S00000.jpg,44.29,38.47,321.06,267.4,352.26,1.49,15.76,8.99,0.22,6.26,1006.59,0.55
S00001,1786736320,LOC-001,HEAVY_RAIN,data/images/S00001.jpg,26.05,89.4,54.75,8.5,19.95,0.79,42.49,22.66,51.23,22.52,986.64,0.78
S00002,1786736620,LOC-004,HEAVY_RAIN,data/images/S00002.jpg,23.7,83.82,33.86,18.11,57.42,0.74,35.76,0,42.67,14.11,998.72,0.82
S00003,1786736920,LOC-003,LOW_VISIBILITY,data/images/S00003.jpg,16.59,70.78,126.67,81.08,169.3,0,30.0,15.6,9.57,3.14,1014.01,0.64
S00004,1786737220,LOC-004,AIR_POLLUTION,data/images/S00004.jpg,29.24,70.91,258.62,156.77,223.87,1.34,22.39,22.18,0.71,2.11,1008.94,0.14
S00005,1786737520,LOC-001,SMOKE_FIRE_RISK,data/images/S00005.jpg,48.93,41.12,382.86,278.12,242.63,0.79,29.02,26.47,0,11.41,1004.91,0.81
S00006,1786737820,LOC-005,HEAVY_RAIN,data/images/S00006.jpg,19.52,74.56,48.61,21.65,40.57,0.73,0,0.88,58.09,21.92,996.03,0.45
S00007,1786738120,LOC-003,FLOOD_RISK,data/images/S00007.jpg,28.35,82.65,68.75,25.88,50.8,1.16,31.17,16.59,76.97,16.99,1000.84,0.43
S00008,1786738420,LOC-002,FLOOD_RISK,data/images/S00008.jpg,20.29,82.93,55.75,14.69,36.84,0,31.57,26.42,48.25,13.63,990.55,0.31
S00009,1786738720,LOC-005,LOW_VISIBILITY,data/images/S00009.jpg,22.55,83.2,146.02,110.36,188.34,0.42,45.15,1.82,1.49,0,1015.97,0.34
S00010,1786739020,LOC-005,FLOOD_RISK,data/images/S00010.jpg,24.99,83.19,41.5,5.24,26.58,1.28,15.33,0,67.67,13.29,1000.16,0.7
S00011,1786739320,LOC-005,FLOOD_RISK,data/images/S00011.jpg,26.22,95.45,52.83,28.5,31.16,0.8,54.03,21.28,64.88,18.7,1003.0,0.38
S00012,1786739620,LOC-004,EXTREME_ENVIRONMENTAL_CONDITION,data/images/S00012.jpg,42.65,85.49,253.08,251.25,205.44,0.48,31.0,0.46,94.83,25.44,1001.11,0.35
S00013,1786739920,LOC-005,AIR_POLLUTION,data/images/S00013.jpg,26.71,67.59,268.24,182.68,269.69,1.08,39.37,11.49,0,3.94,1004.45,0.72
S00014,1786740220,LOC-005,NORMAL,data/images/S00014.jpg,25.26,59.08,59.73,27.97,21.43,0.6,20.17,19.34,0.67,11.42,1005.57,0.19
S00015,1786740520,LOC-001,NORMAL,data/images/S00015.jpg,28.26,54.74,30.52,21.92,37.57,1.62,29.81,8.04,0.1,13.0,1005.21,0.44
S00016,1786740820,LOC-004,NORMAL,data/images/S00016.jpg,27.98,66.29,40.05,26.8,55.18,1.04,21.12,8.72,1.89,11.31,1018.5,0.27
S00017,1786741120,LOC-004,HEAVY_RAIN,data/images/S00017.jpg,22.95,79.92,48.26,24.25,63.36,1.32,38.42,24.86,39.25,20.44,996.88,0.2
S00018,1786741420,LOC-003,LOW_VISIBILITY,data/images/S00018.jpg,19.31,78.2,125.77,35.98,109.31,0.9,12.99,25.5,1.06,5.24,1009.43,0.6
S00019,1786741720,LOC-004,SMOKE_FIRE_RISK,data/images/S00019.jpg,36.52,24.33,180.86,350.33,277.84,1.62,47.38,10.47,0,3.34,1015.16,0.37
S00020,1786742020,LOC-004,FLOOD_RISK,data/images/S00020.jpg,23.01,86.7,48.46,27.81,39.88,0.45,22.39,10.54,71.08,9.75,1000.44,0.86
S00021,1786742320,LOC-001,LOW_VISIBILITY,data/images/S00021.jpg,16.7,79.33,123.14,140.21,160.37,1.12,26.42,13.63,1.7,2.05,1004.68,0.75
S00022,1786742620,LOC-001,NORMAL,data/images/S00022.jpg,25.83,51.79,22.7,11.07,26.55,0.88,54.33,17.67,0.53,11.82,1006.53,0.38
S00023,1786742920,LOC-001,FLOOD_RISK,data/images/S00023.jpg,26.06,88.12,62.07,31.2,48.73,0.84,46.15,13.78,64.16,17.36,1003.56,0.83
S00024,1786743220,LOC-003,SMOKE_FIRE_RISK,data/images/S00024.jpg,33.43,34.89,306.76,212.82,226.97,1.28,30.52,15.76,0.28,3.99,1009.67,0.42
S00025,1786743520,LOC-002,EXTREME_ENVIRONMENTAL_CONDITION,data/images/S00025.jpg,40.72,88.81,248.86,115.09,237.86,0.06,48.05,10.09,46.36,29.61,998.53,0.56
S00026,1786743820,LOC-003,HEAVY_RAIN,data/images/S00026.jpg,20.86,90.07,69.55,14.23,34.25,1.25,28.48,5.0,63.33,18.62,1009.67,0.33
S00027,1786744120,LOC-001,SMOKE_FIRE_RISK,data/images/S00027.jpg,35.46,24.41,299.35,216.68,311.19,0.72,20.4,18.54,0.64,11.56,1002.11,0.72
S00028,1786744420,LOC-005,EXTREME_ENVIRONMENTAL_CONDITION,data/images/S00028.jpg,36.46,90.25,271.87,188.69,231.43,1.53,42.58,15.62,72.43,33.26,983.11,0.46
S00029,1786744720,LOC-003,HEAVY_RAIN,data/images/S00029.jpg,21.64,85.24,58.56,22.79,30.64,0.83,36.19,4.91,50.41,14.16,1000.07,0.3
S00030,1786745020,LOC-002,SMOKE_FIRE_RISK,data/images/S00030.jpg,34.54,20.4,250.98,246.09,349.6,1.03,53.37,12.73,0,14.16,1013.28,0.64
S00031,1786745320,LOC-003,EXTREME_ENVIRONMENTAL_CONDITION,data/images/S00031.jpg,41.79,100,382.58,193.28,249.74,0.6,43.18,0.74,84.27,34.03,991.62,0.78
S00032,1786745620,LOC-004,LOW_VISIBILITY,data/images/S00032.jpg,13.97,78.39,161.5,127.31,148.06,1.28,40.99,17.58,3.39,6.33,1003.82,0.68
S00033,1786745920,LOC-004,LOW_VISIBILITY,data/images/S00033.jpg,27.36,85.82,196.37,149.72,158.14,1.32,31.39,16.45,0,6.52,1013.27,0.74
S00034,1786746220,LOC-003,NORMAL,data/images/S00034.jpg,22.02,50.55,21.35,3.36,26.25,1.78,40.38,14.25,1.29,12.9,1006.3,0.28
S00035,1786746520,LOC-002,SMOKE_FIRE_RISK,data/images/S00035.jpg,35.28,41.1,388.29,314.29,241.5,0.37,33.09,7.89,0.46,0.79,1007.69,0.6
S00036,1786746820,LOC-004,FLOOD_RISK,data/images/S00036.jpg,26.35,84.28,69.15,10.59,35.13,1.66,41.93,14.18,74.45,17.88,1001.14,0.51
S00037,1786747120,LOC-003,NORMAL,data/images/S00037.jpg,30.21,71.05,43.58,31.21,49.35,1.0,58.65,18.41,0,6.44,1007.85,0.56
S00038,1786747420,LOC-002,LOW_VISIBILITY,data/images/S00038.jpg,24.23,68.72,190.01,83.85,190.34,1.2,36.41,10.76,6.59,2.5,998.06,0.44
S00039,1786747720,LOC-002,FLOOD_RISK,data/images/S00039.jpg,26.51,96.1,19.24,20.3,43.0,1.44,41.35,11.55,58.08,11.0,1007.51,0.21
S00040,1786748020,LOC-003,LOW_VISIBILITY,data/images/S00040.jpg,25.57,84.02,139.82,96.98,166.25,1.02,52.53,12.67,2.93,4.98,1011.36,0.4
S00041,1786748320,LOC-004,AIR_POLLUTION,data/images/S00041.jpg,27.22,44.83,288.35,221.7,265.41,0.94,24.36,9.6,0,4.98,1006.73,0.48
S00042,1786748620,LOC-002,EXTREME_ENVIRONMENTAL_CONDITION,data/images/S00042.jpg,39.44,100,267.41,250.51,293.42,1.02,23.24,9.34,63.98,28.77,988.13,0.72
S00043,1786748920,LOC-003,NORMAL,data/images/S00043.jpg,24.09,63.58,49.42,25.15,46.37,1.22,21.46,23.92,1.28,8.97,1014.46,0.25
S00044,1786749220,LOC-003,EXTREME_ENVIRONMENTAL_CONDITION,data/images/S00044.jpg,44.9,92.6,285.66,149.92,269.01,0.55,22.89,9.17,79.41,36.82,992.8,0.75
S00045,1786749520,LOC-005,EXTREME_ENVIRONMENTAL_CONDITION,data/images/S00045.jpg,40.44,92.2,301.75,144.89,313.34,2.02,28.99,4.2,80.85,31.45,993.21,0.48
S00046,1786749820,LOC-003,NORMAL,data/images/S00046.jpg,29.11,52.26,53.61,18.48,36.55,1.32,40.84,12.86,0.73,6.16,1013.0,0.58
S00047,1786750120,LOC-004,AIR_POLLUTION,data/images/S00047.jpg,27.97,37.92,233.14,197.93,225.47,1.68,51.07,15.58,0,6.99,1003.39,0.31
S00048,1786750420,LOC-002,HEAVY_RAIN,data/images/S00048.jpg,21.71,74.89,64.95,9.0,29.14,0.97,28.32,20.82,57.85,28.82,1001.88,0.25
S00049,1786750720,LOC-004,HEAVY_RAIN,data/images/S00049.jpg,21.5,89.65,49.85,13.08,39.85,1.77,40.18,7.33,42.16,19.38,997.49,0.53
S00050,1786751020,LOC-001,SMOKE_FIRE_RISK,data/images/S00050.jpg,41.43,29.48,390.44,248.13,341.99,1.55,38.81,4.51,0,2.02,1002.16,0.14
S00051,1786751320,LOC-003,SMOKE_FIRE_RISK,data/images/S00051.jpg,33.31,18.92,309.34,224.13,225.42,1.48,24.32,7.18,0,6.76,1001.42,0.59
S00052,1786751620,LOC-004,EXTREME_ENVIRONMENTAL_CONDITION,data/images/S00052.jpg,41.43,91.56,351.22,249.63,209.69,1.93,46.39,10.24,77.95,27.32,992.38,0.42
S00053,1786751920,LOC-004,NORMAL,data/images/S00053.jpg,27.23,55.33,34.4,11.82,50.81,1.41,32.24,0,0.79,9.72,1012.68,0.21
S00054,1786752220,LOC-005,EXTREME_ENVIRONMENTAL_CONDITION,data/images/S00054.jpg,33.18,86.21,323.43,103.08,248.96,0.71,37.8,8.57,65.01,25.87,988.6,0.43
S00055,1786752520,LOC-003,SMOKE_FIRE_RISK,data/images/S00055.jpg,47.29,22.24,314.93,182.56,310.46,1.45,49.49,11.77,0.45,5.56,1003.75,0.22
S00056,1786752820,LOC-004,HEAVY_RAIN,data/images/S00056.jpg,23.78,87.32,52.46,27.0,30.5,1.27,35.31,2.16,63.63,19.76,1001.66,0.64
S00057,1786753120,LOC-002,EXTREME_ENVIRONMENTAL_CONDITION,data/images/S00057.jpg,40.94,100,227.09,144.83,275.22,0.95,40.42,22.49,98.61,27.85,994.43,0.2
S00058,1786753420,LOC-002,SMOKE_FIRE_RISK,data/images/S00058.jpg,33.19,37.36,339.38,227.99,278.53,2.34,37.59,20.05,0.19,3.48,1008.21,0.11
S00059,1786753720,LOC-001,AIR_POLLUTION,data/images/S00059.jpg,21.94,44.69,246.8,172.23,220.75,0.85,32.77,11.74,0.63,6.61,1007.6,0.55
S00060,1786754020,LOC-005,AIR_POLLUTION,data/images/S00060.jpg,21.32,46.88,222.49,111.41,207.83,0.81,51.54,5.72,0.89,2.29,1009.03,0.63
S00061,1786754320,LOC-001,EXTREME_ENVIRONMENTAL_CONDITION,data/images/S00061.jpg,39.23,95.41,238.48,169.22,277.29,1.11,2.24,21.34,93.58,29.05,992.74,0.1
S00062,1786754620,LOC-004,FLOOD_RISK,data/images/S00062.jpg,29.11,87.05,89.53,19.51,46.07,0.4,21.6,0,41.28,11.69,998.6,0.47
S00063,1786754920,LOC-002,HEAVY_RAIN,data/images/S00063.jpg,14.36,93.43,68.99,13.26,25.96,0.77,50.87,11.9,64.78,22.62,1001.67,0.23
S00064,1786755220,LOC-004,FLOOD_RISK,data/images/S00064.jpg,21.86,90.41,70.88,29.58,34.05,1.15,53.22,12.65,65.42,12.3,996.58,0.65
S00065,1786755520,LOC-002,NORMAL,data/images/S00065.jpg,29.61,58.19,55.47,30.31,47.05,1.15,35.25,13.9,0,5.62,1009.81,0.17
S00066,1786755820,LOC-003,SMOKE_FIRE_RISK,data/images/S00066.jpg,40.68,41.45,299.71,260.92,330.97,0.66,23.42,14.56,0,4.16,1007.43,0.69
S00067,1786756120,LOC-005,NORMAL,data/images/S00067.jpg,28.56,73.15,54.6,20.87,37.27,1.26,41.1,23.23,1.28,5.34,1014.99,0.6
S00068,1786756420,LOC-002,EXTREME_ENVIRONMENTAL_CONDITION,data/images/S00068.jpg,37.36,87.89,289.73,115.07,290.77,1.16,28.12,11.55,82.35,42.84,997.07,0.56
S00069,1786756720,LOC-005,EXTREME_ENVIRONMENTAL_CONDITION,data/images/S00069.jpg,46.48,89.9,318.05,250.88,292.27,1.48,39.62,20.13,92.03,35.63,990.86,0.21
S00070,1786757020,LOC-005,EXTREME_ENVIRONMENTAL_CONDITION,data/images/S00070.jpg,43.86,93.47,113.86,330.62,379.88,0.93,45.18,10.2,69.11,41.7,1000.32,0.52
S00071,1786757320,LOC-004,AIR_POLLUTION,data/images/S00071.jpg,34.91,40.03,254.12,175.25,172.77,0.3,32.86,18.32,0.25,2.63,1011.04,0.76
S00072,1786757620,LOC-002,HEAVY_RAIN,data/images/S00072.jpg,21.16,83.11,44.87,7.57,48.59,0.89,45.17,20.54,50.89,21.0,995.84,0.79
S00073,1786757920,LOC-002,HEAVY_RAIN,data/images/S00073.jpg,27.23,76.58,47.9,14.97,35.3,0.39,20.05,12.45,44.93,28.31,1002.05,0.19
S00074,1786758220,LOC-001,EXTREME_ENVIRONMENTAL_CONDITION,data/images/S00074.jpg,39.13,88.36,257.96,181.77,294.27,0.72,39.26,18.02,70.92,42.83,996.52,0.32
S00075,1786758520,LOC-001,HEAVY_RAIN,data/images/S00075.jpg,23.15,87.61,52.44,25.38,19.19,0.58,47.08,10.14,41.32,25.13,991.47,0.82
S00076,1786758820,LOC-004,LOW_VISIBILITY,data/images/S00076.jpg,23.84,84.77,146.02,46.55,187.5,1.33,38.86,5.39,7.6,3.6,1010.8,0.51
S00077,1786759120,LOC-002,FLOOD_RISK,data/images/S00077.jpg,20.68,89.91,80.75,23.78,49.13,0.96,14.62,23.08,51.84,12.4,993.96,0.24
S00078,1786759420,LOC-003,NORMAL,data/images/S00078.jpg,21.63,41.14,42.39,28.33,49.08,0.51,31.03,16.26,2.55,10.33,1009.33,0.15
S00079,1786759720,LOC-002,FLOOD_RISK,data/images/S00079.jpg,25.81,92.59,70.94,24.33,40.65,0.77,10.15,3.94,67.09,13.73,988.94,0.16
S00080,1786760020,LOC-003,HEAVY_RAIN,data/images/S00080.jpg,22.16,92.92,64.21,30.52,28.45,0.64,51.91,25.77,46.05,20.35,1008.0,0.57
S00081,1786760320,LOC-005,EXTREME_ENVIRONMENTAL_CONDITION,data/images/S00081.jpg,38.2,82.14,285.07,210.67,315.38,0.92,35.59,0,97.72,35.12,1000.4,0.28
S00082,1786760620,LOC-002,FLOOD_RISK,data/images/S00082.jpg,21.26,91.42,49.31,11.38,64.63,0.86,46.76,27.37,77.74,17.6,1003.45,0.16
S00083,1786760920,LOC-001,NORMAL,data/images/S00083.jpg,32.82,52.11,59.2,24.7,25.86,1.14,37.77,5.32,0,9.22,1021.23,0.32
S00084,1786761220,LOC-005,EXTREME_ENVIRONMENTAL_CONDITION,data/images/S00084.jpg,39.55,90.9,316.36,249.27,358.88,0,69.83,20.19,80.33,31.56,982.79,0.43
S00085,1786761520,LOC-001,FLOOD_RISK,data/images/S00085.jpg,27.58,92.0,71.29,24.83,33.97,1.53,51.71,9.4,53.1,18.52,1011.64,0.44
S00086,1786761820,LOC-004,HEAVY_RAIN,data/images/S00086.jpg,17.54,83.72,58.81,25.46,25.67,0,33.3,0,49.65,24.98,1002.05,0.78
S00087,1786762120,LOC-002,NORMAL,data/images/S00087.jpg,27.9,32.65,65.32,17.68,36.79,1.01,45.96,10.72,1.39,5.7,1004.54,0.19
S00088,1786762420,LOC-001,FLOOD_RISK,data/images/S00088.jpg,33.58,94.91,51.24,29.13,39.76,0.78,38.73,9.04,62.09,16.6,999.79,0.27
S00089,1786762720,LOC-001,HEAVY_RAIN,data/images/S00089.jpg,18.77,88.4,31.4,25.16,32.24,1.27,41.48,10.74,55.12,21.33,999.71,0.53
S00090,1786763020,LOC-004,NORMAL,data/images/S00090.jpg,29.65,55.87,50.04,1.83,40.45,0.48,36.61,17.32,2.73,6.17,1011.33,0.41
S00091,1786763320,LOC-002,HEAVY_RAIN,data/images/S00091.jpg,26.94,88.55,57.87,15.73,20.73,0.82,12.07,11.46,37.33,21.72,1001.98,0.37
